What does integrity mean?	0	Data is whole, complete, and uncorrupted	Data is delivered quickly	Data is original	Data is owned by an organization
What does possession describe?	3	Whether data is available	Whether data is accurate	Whether data is encrypted	Whether data ownership or control is legitimate or authorized
What does utility mean?	0	Data has value or usefulness for an end purpose	Data is protected from unauthorized disclosure	Data is free of errors	Data is complete and uncorrupted
hat usually happens when a critical characteristic of information changes?	1	The information always becomes more valuable	The value of the information often decreases	The information becomes unavailable	The information becomes authentic
Why is timeliness important for information?	3	Information is always useful, regardless of time	Information automatically becomes accurate	Information becomes more confidential over time	Information can lose much or all of its value if delivered too late
What can cause tension between information security professionals and end users?	3	Users always prefer delayed systems	Security professionals do not protect information	Users do not need information	Users want unhindered access, while security may require protective measures
What may end users consider a 0.1-second delay in data computation?	1	An important security control	An unnecessary annoyance	A loss of possession	Server overload
Why might information security professionals accept a 0.1-second delay?	2	relational database joins is not effective to fetch data	It prevents authorized access	It may enable an important task, such as data encryption	It makes data less useful
In the library example, what is required before a patron can access the book stacks?	2	Payment for each book	Credit for each book	Identification accepted by the librarian	Computer password only
What does the library example demonstrate about availability?	3	All users should have unrestricted access	Information should be kept secret from everyone	Information should not be written in familiar languages	Authorized users should be able to access information in a usable format
What can make checking-account information inaccurate?	0	A teller mistakenly adding or subtracting too much money	A user checking their balance	Using the account legally	Receiving accurate account information
What does accuracy mean?	1	Data is useful	Data is free of errors and has the expected value	Data is protected from disclosure	Data is available to everyone
What happens to accuracy if information is intentionally or unintentionally modified?	2	It becomes more useful	It becomes confidential	It is no longer accurate	It becomes available
What does authenticity mean?	0	Data is genuine or original	Data is always available	Data is encrypted with DES	Data is encrypted with AES
Which type of data lacks authenticity?	2	Genuine data	Original data	Fabricated data	Complete data
What does availability allow authorized users to do?	1	Change all data	Access information without interference or obstruction	Disclose data to others	Take ownership of information
To have availability, information must be delivered:	3	Only in printed form	In the required format	Without any security controls	In the required format
What does confidentiality protect information from?	1	Damage caused by errors	Disclosure to unauthorized individuals or systems	Being useful	Being available
